recipe_id,recipe_name,cooking_time,difficulty,sub_ingredients,Seasonings,main_ingredients
145,곱창전골,60.0,3,"대파, 물, 당근, 양배추, 양파, 표고버섯, 우동면, 밀가루","마늘, 생강, 소금, 후추, 고춧가루, 고추장, 간장, 다진파","곱창, 양, 미나리, 쑥갓"
146,아귀찜,60.0,2,"미나리, 대파, 깻잎, 찹쌀가루","참기름, 통후추, 소금, 고춧가루, 고추장, 진간장, 설탕","아귀, 미더덕, 콩나물"
147,오렌지건포도빵,140.0,2,"소금, 계란, 우유, 버터, 오렌지마멀레이드, 건포도, 계란노른자, 검은깨",,"강력분, 드라이이스트, 설탕"
148,삼겹살채소말이,30.0,2,"찹쌀가루, 식용유, 꼬치","소금, 생강즙, 후추","돼지고기, 붉은 고추, 무순"
149,배추속댓국,30.0,1,"물, 대파, 식용유, 고추장, 된장, 소금","다진파, 다진마늘, 참기름, 깨소금, 후춧가루","배추, 무, 쇠고기"
150,송편,60.0,2,"풋콩, 소금, 깨, 녹두, 물","참기름, 꿀, 설탕, 계핏가루","멥쌀, 소금, 쑥, 대추, 솔잎"
151,빈대떡,30.0,2,"물, 소금, 대파, 실고추, 포도씨유","간장, 다진파, 다진마늘, 참기름, 깨소금, 후춧가루","녹두, 돼지고기, 숙주, 느타리버섯, 석이버섯"
152,화양적,30.0,2,식용유/소금/참기름/잣가루,"진간장, 설탕, 다진파, 다진마늘, 깨소금, 참기름, 후추","쇠고기(힘줄없는부위), 표고버섯, 도라지, 당근, 오이"
153,토란곰탕,30.0,2,"다시마, 대파","국간장, 다진마늘, 후춧가루, 참기름, 소금","토란, 쇠고기, 무"
154,쇠고기전골,60.0,2,"실파, 홍고추, 물","국간장, 소금, 간장, 설탕, 다진파, 다진마늘, 참기름, 깨소금, 후춧가루","쇠고기, 목이버섯, 팽이버섯"
155,고등어무조림,30.0,1,대파,"간장, 고추장, 고춧가루, 설탕, 청주, 다진파, 다진마늘, 생강즙, 후춧가루, 실고추, 물","고등어, 무"
156,잡채,25.0,2,"양파, 배, 오이, 당근, 식용유","소금, 후춧가루, 참기름, 통깨, 간장, 꿀, [쇠고기양념] 다진파, 다진마늘, 설탕","당면, 쇠고기, 느타리버섯"
157,쌈장,10.0,1,"양파, 마늘, 파","고춧가루, 참기름","고추장, 된장"
158,김치채소볶음,30.0,2,"피망, 마른고추, 대파, 마늘, 생강, 식용유","청주, 소금, 후추, 참기름, 간장","배추김치, 돼지고기, 죽순, 양송이버섯"
159,닭날개튀김,60.0,2,"식용유, 녹말가루, 튀김가루","간장, 청주, 식용유, 다진마늘, 생강즙, 다진파, 후춧가루, 소금",닭
160,오징어순대,60.0,2,"표고버섯, 당근, 피망, 양상추, 통깨, 깻잎, 다진파슬리, 샐러리","설탕, 다진파, 다진마늘, 참기름, 후춧가루, 간장, 식초, 깨소금","오징어, 쇠고기, 두부, 당면"
161,누룽지탕,50.0,2,"완두콩, 홍고추, 마늘, 소금, 식용유, 녹말, 물","새우, 설탕, 간장, 식초","누룽지, 표고버섯, 죽순, 새우"
162,가래떡꼬치,60.0,1,"적파프리카, 황파프리카, 브로콜리","고추장, 간장, 다진마늘, 토마토케첩, 설탕, 참기름, 꼬치",가래떡
163,찬밥지짐이,30.0,1,"양파, 당근, 실파, 두부, 계란, 날콩가루, 식용유","소금, 후춧가루",찬밥
164,동지팥죽,60.0,3,"찹쌀, 쌀가루, 찬물",소금,"팥, 쌀, 물"
165,팥타르트,60.0,3,설탕,"아몬드가루, 슈가파우더, 계란, 소금","밀가루, 버터, 물, 삶은팥"
166,고구마줄기볶음,20.0,1,,"들기름, 국간장, 다진파, 다진마늘, 참기름, 깨소금, 설탕, 소금",고구마줄기
167,어묵닭고기조림,35.0,2,"오이, 소금, 녹말","후춧가루, 간장, 청주, 물","어묵, 닭고기, 표고버섯"
168,떡국,30.0,1,"대파, 계란, 소금","간장, 설탕, 다진파, 다진마늘, 깨소금, 참기름, 후춧가루","가래떡, 쇠고기 육수, 쇠고기"
169,절편,60.0,3,쑥,"소금, 참기름",멥쌀
170,수정과,60.0,3,"곶감, 호두, 잣",황설탕,"생강, 통계피, 물"
171,깐풍기,40.0,2,"소금, 후춧가루, 정종, 감자전분, 계란, 대파, 홍고추, 청고추, 생강, 마늘","간장, 설탕, 식초, 물",닭고기
172,팥시루떡,50.0,3,"물, 밀가루",소금,"찹쌀, 멥쌀, 팥"
173,두부탕,30.0,2,"실파, 물, 다시마, 무","소금, 후춧가루, 국간장","두부, 다진쇠고기"
174,쇠고기완자찜,60.0,2,"무, 당근, 밤","소금, 후춧가루, 깨소금, 참기름, 물, 간장, 설탕, 다진파, 다진마늘","다진쇠고기, 두부"
175,해물잡채,40.0,2,"양파, 청피망, 홍피망, 식용유, 당근","간장, 설탕, 참기름, 소금, 굴소스","오징어, 낙지, 새우, 조개살, 당면"
176,맑은떡국,30.0,2,"다시마, 다진마늘, 물, 대파, 말린표고버섯, 계란","간장, 소금",떡국떡
177,찰밥,40.0,2,"대추, 밤",소금,"찹쌀, 팥"
178,콩나물무밥,30.0,1,"물, 돼지고기, 참기름, 취나물","진간장, 다진파, 다진마늘, 깨소금, 다진풋고추","쌀, 콩나물, 무"
179,모듬쌈밥,30.0,2,"소금, 흑임자, 참기름","참기름, 건새우가루, 된장, 고추장, 청고추, 홍고추, 설탕, 다진마늘","케일, 치커리, 청경채, 겨자잎, 밥"
180,달래된장찌개,40.0,2,"홍고추, 청양고추, 대파, 물, 바지락","다진마늘, 된장, 육수용멸치","달래, 두부, 말린표고버섯"
181,쑥버섯볶음,20.0,2,식용유,"다진마늘, 간장, 설탕, 소금, 후춧가루","쑥, 표고버섯, 양송이, 느타리버섯"
182,닭고기명란튀김,40.0,2,"김, 계란, 당근, 대파, 녹말가루, 밀가루, 빵가루, 식용유","마요네즈, 소금, 후춧가루","닭고기, 명란젓"
183,봄동바지락볶음,30.0,2,"홍고추, 실파, 식용유","다진마늘, 청주, 물, 굴소스, 소금, 후춧가루","봄동, 바지락"
